Timestamp,total-bitcoins
04/10/2020 4:32,18507325
04/10/2020 4:38,18507343.75
04/10/2020 5:26,18507362.5
04/10/2020 6:08,18507381.25
04/10/2020 7:27,18507400
04/10/2020 7:44,18507418.75
04/10/2020 8:20,18507437.5
04/10/2020 8:37,18507456.25
04/10/2020 8:58,18507475
04/10/2020 9:28,18507493.75
04/10/2020 9:36,18507512.5
04/10/2020 10:37,18507531.25
04/10/2020 11:23,18507550
04/10/2020 11:28,18507568.75
04/10/2020 11:40,18507587.5
04/10/2020 11:55,18507606.25
04/10/2020 12:19,18507625
04/10/2020 12:38,18507643.75
04/10/2020 13:26,18507662.5
04/10/2020 14:14,18507681.25
04/10/2020 14:18,18507700
04/10/2020 14:39,18507718.75
04/10/2020 15:21,18507737.5
04/10/2020 15:51,18507756.25
04/10/2020 16:35,18507775
04/10/2020 16:46,18507793.75
04/10/2020 17:19,18507812.5
04/10/2020 17:37,18507831.25
04/10/2020 17:44,18507850
04/10/2020 18:21,18507868.75
04/10/2020 18:51,18507887.5
04/10/2020 19:15,18507906.25
04/10/2020 20:05,18507925
04/10/2020 20:21,18507943.75
04/10/2020 20:35,18507962.5
04/10/2020 21:03,18507981.25
04/10/2020 22:30,18508000
04/10/2020 22:48,18508018.75
04/10/2020 23:05,18508037.5
04/10/2020 23:25,18508056.25
04/10/2020 23:45,18508075
05/10/2020 0:03,18508093.75
05/10/2020 0:19,18508112.5
05/10/2020 0:49,18508131.25
05/10/2020 1:43,18508150
05/10/2020 2:25,18508168.75
05/10/2020 2:43,18508187.5
05/10/2020 3:02,18508206.25
05/10/2020 3:24,18508225
05/10/2020 3:58,18508243.75
05/10/2020 4:34,18508262.5
05/10/2020 5:33,18508281.25
05/10/2020 6:01,18508300
05/10/2020 6:18,18508318.75
05/10/2020 6:36,18508337.5
05/10/2020 7:00,18508356.25
05/10/2020 7:29,18508375
05/10/2020 8:08,18508393.75
05/10/2020 8:22,18508412.5
05/10/2020 9:04,18508431.25
05/10/2020 9:26,18508450
05/10/2020 9:56,18508468.75
05/10/2020 10:24,18508487.5
05/10/2020 10:48,18508512.5
05/10/2020 11:02,18508531.25
05/10/2020 11:30,18508550
05/10/2020 11:49,18508568.75
05/10/2020 12:32,18508587.5
05/10/2020 13:29,18508606.25
05/10/2020 13:44,18508625
05/10/2020 15:04,18508643.75
05/10/2020 15:36,18508662.5
05/10/2020 16:06,18508681.25
05/10/2020 16:38,18508700
05/10/2020 17:15,18508718.75
05/10/2020 18:43,18508737.5
05/10/2020 18:52,18508756.25
05/10/2020 19:21,18508775
05/10/2020 20:26,18508793.75
05/10/2020 20:55,18508818.75
05/10/2020 21:19,18508837.5
05/10/2020 21:27,18508856.25
05/10/2020 21:51,18508875
05/10/2020 22:05,18508893.75
05/10/2020 22:24,18508912.5
05/10/2020 22:37,18508931.25
05/10/2020 23:27,18508950
05/10/2020 23:44,18508968.75
06/10/2020 0:23,18508987.5
06/10/2020 0:49,18509006.25
06/10/2020 1:12,18509025
06/10/2020 1:40,18509043.75
06/10/2020 2:02,18509062.5
06/10/2020 2:29,18509081.25
06/10/2020 2:57,18509100
06/10/2020 3:20,18509118.75
06/10/2020 3:55,18509137.5
06/10/2020 4:37,18509156.25
06/10/2020 4:57,18509175
06/10/2020 5:29,18509193.75
06/10/2020 5:40,18509212.5
06/10/2020 6:27,18509231.25
06/10/2020 6:55,18509250
06/10/2020 7:26,18509268.75
06/10/2020 7:42,18509287.5
06/10/2020 8:27,18509306.25
06/10/2020 8:46,18509325
06/10/2020 9:05,18509343.75
06/10/2020 9:16,18509362.5
06/10/2020 9:28,18509381.25
06/10/2020 10:08,18509400
06/10/2020 11:02,18509418.75
06/10/2020 11:45,18509437.5
06/10/2020 12:40,18509456.25
06/10/2020 13:31,18509481.25
06/10/2020 14:03,18509500
06/10/2020 14:15,18509518.75
06/10/2020 14:45,18509537.5
06/10/2020 15:12,18509556.25
06/10/2020 16:00,18509575
06/10/2020 16:23,18509593.75
06/10/2020 16:44,18509612.5
06/10/2020 18:03,18509631.25
06/10/2020 18:36,18509650
06/10/2020 18:56,18509668.75
06/10/2020 19:42,18509687.5
06/10/2020 20:14,18509706.25
06/10/2020 20:42,18509725
06/10/2020 21:36,18509743.75
06/10/2020 22:23,18509762.5
06/10/2020 23:01,18509781.25
07/10/2020 0:19,18509800
07/10/2020 0:57,18509818.75
07/10/2020 1:40,18509837.5
07/10/2020 1:50,18509856.25
07/10/2020 2:29,18509875
07/10/2020 3:04,18509893.75
07/10/2020 3:50,18509912.5
07/10/2020 4:08,18509931.25
07/10/2020 4:37,18509950
07/10/2020 5:22,18509968.75
07/10/2020 6:19,18509987.5
07/10/2020 6:51,18510006.25
